group_ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Type of Sub project Enterprise,CROP PRODUCTION,FISHERY,LIVESTOCK,POULTRY,PROCESSING,MARKETING,RURAL INFRASTRUCTURE,FORESTRY,Total Cost of Sub Project,IDA Amount,Beneficiary Contribution,Total Amount Disbursed,Date of disbursement
rivers,n/a,n/a,n/a,etche,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1730000,1500000,230000,1500000,28/10/2016
rivers,n/a,n/a,n/a,etche,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1130000,900000,230000,900000,28/06/2016
rivers,n/a,n/a,n/a,etche,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1230000,1000000,230000,1000000,28/06/2016
rivers,n/a,n/a,n/a,etche,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,1730000,1500000,230000,1500000,28/06/2016
rivers,n/a,n/a,n/a,etche,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1230000,1000000,230000,1000000,28/06/2016
rivers,n/a,n/a,n/a,etche,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,123000,1000000,230000,1000000,28/06/2016
rivers,n/a,n/a,n/a,etche,livestock,n/a,n/a,goatry,n/a,n/a,n/a,n/a,n/a,1430000,1200000,230000,1200000,28/06/2016
rivers,n/a,n/a,n/a,etche,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1130000,900000,230000,900000,28/06/2016
rivers,n/a,n/a,n/a,etche,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,173000,1500000,230000,1500000,28/06/2016
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1900000,1400000,500000,1400000,08/01/2018
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1900000,1400000,500000,1400000,08/01/2018
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1900000,1400000,500000,1400000,08/01/2018
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2730000,2100000,630000,2100000,12/08/2019
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1900000,1400000,500000,1400000,08/01/2018
rivers,n/a,n/a,n/a,akuku toru,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1300000,1000000,300000,1000000,12/03/2018
rivers,n/a,n/a,n/a,etche,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1730000,1500000,230000,1500000,28/10/2016
rivers,n/a,n/a,n/a,etche,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1730000,1500000,230000,1500000,28/10/2018
rivers,n/a,n/a,n/a,etche,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1230000,1000000,230000,1000000,28/10/2016
rivers,n/a,n/a,n/a,etche,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,1730000,1500000,230000,1500000,28/10/2016
rivers,n/a,n/a,n/a,etche,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,1730000,1500000,230000,1500000,28/10/2016
rivers,n/a,n/a,n/a,etche,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,rural market,n/a,2230000,2000000,230000,2000000,28/06/2016
rivers,n/a,n/a,n/a,ogu bolo,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2400000,2100000,300000,2100000,29/10/2018
rivers,n/a,n/a,n/a,ogu bolo,marketing,n/a,n/a,n/a,n/a,n/a,others,n/a,n/a,2300000,2000000,300000,1600000,29/10/2018
rivers,n/a,n/a,n/a,ogu bolo,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2400000,2100000,300000,2100000,29/10/2018
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1900000,1400000,500000,1400000,08/01/2018
rivers,n/a,n/a,n/a,akuku toru,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1300000,1000000,300000,1000000,08/01/2018
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1900000,1400000,500000,1400000,08/01/2014
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1900000,1400000,500000,1400000,08/01/2014
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1900000,1400000,500000,1400000,08/01/2014
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1900000,1400000,500000,1400000,08/01/2014
rivers,n/a,n/a,n/a,akuku toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1900000,1400000,500000,1400000,08/01/2014
rivers,n/a,n/a,n/a,port harcourt,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2200000,2100000,100000,2100000,16/05/2017
rivers,n/a,n/a,n/a,port harcourt,marketing,n/a,n/a,n/a,n/a,n/a,tricycle,n/a,n/a,2080000,1500000,580000,1500000,06/05/2019
rivers,n/a,n/a,n/a,asari toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,2000000,1500000,500000,1500000,24/06/2014
rivers,n/a,n/a,n/a,asari toru,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1970000,1500000,470000,1500000,24/06/2014
bayelsa,owan west,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,903950,647765,256185,647765,07/04/2015
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,18/01/2018
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,18/01/2018
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,19/01/2018
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,19/01/2018
bayelsa,southern ijaw,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,19/01/2018
bayelsa,southern ijaw,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,950000,720000,230000,720000,26/01/2015
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,950000,720000,230000,720000,26/01/2015
bayelsa,southern ijaw,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,950000,720000,230000,720000,28/01/2015
bayelsa,southern ijaw,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,950000,720000,230000,720000,27/01/2015
bayelsa,southern ijaw,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,950000,720000,230000,720000,26/01/2015
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,842000,598500,243500,598500,18/06/2015
rivers,n/a,n/a,n/a,obia akpor,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,3000000,2100000,900000,2100000,11/09/2018
rivers,n/a,n/a,n/a,ikwerre,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1090000,700000,390000,10,31/10/2014
rivers,n/a,n/a,n/a,ikwerre,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2000000,1600000,400000,1600000,24/09/2014
rivers,n/a,n/a,n/a,ikwerre,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2000000,1600000,400000,1600000,20/10/2014
rivers,n/a,n/a,n/a,ikwerre,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,0,0,400000,1600000,31/10/2015
bayelsa,southern ijaw,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,839000,595500,243500,595500,19/06/2015
bayelsa,southern ijaw,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,837000,593500,243500,593500,19/06/2015
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,839000,595500,243500,595500,18/06/2015
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,841000,597500,243500,597500,19/06/2015
rivers,n/a,n/a,n/a,opobo nkoro,crop productio,vegetable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1600000,911000,509000,911000,21/07/2014
rivers,n/a,n/a,n/a,opobo nkoro,crop productio,vegetable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1600000,911000,509000,911000,21/07/2014
rivers,n/a,n/a,n/a,obia akpor,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1220000,1100000,120000,1100000,27/03/2017
rivers,n/a,n/a,n/a,obia akpor,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1120000,1000000,120000,1000000,25/04/2017
rivers,n/a,n/a,n/a,obia akpor,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2250000,2000000,250000,2000000,27/03/2017
rivers,n/a,n/a,n/a,ikwerre,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2270000,1600000,670000,1600000,20/10/2014
rivers,n/a,n/a,n/a,ikwerre,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1220000,1100000,120000,1100000,27/03/2017
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,842000,598500,243500,598500,16/12/2014
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,842000,598500,243500,598500,16/12/2014
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,950000,720000,230000,720000,19/08/2014
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,950000,720000,230000,720000,19/08/2014
bayelsa,southern ijaw,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,950000,720000,230000,720000,19/08/2014
rivers,n/a,n/a,n/a,ikwerre,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2000000,1600000,400000,1600000,24/09/2014
rivers,n/a,n/a,n/a,ikwerre,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2000000,1600000,400000,1600000,15/10/2014
rivers,n/a,n/a,n/a,okrika,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1100000,1000000,100000,1000000,16/05/2017
rivers,n/a,n/a,n/a,ikwerre,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2000000,1600000,400000,1600000,24/09/2014
rivers,n/a,n/a,n/a,obia akpor,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2755000,2455000,300000,2455000,25/04/2017
rivers,n/a,n/a,n/a,obia akpor,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2755000,2455000,300000,2455000,27/03/2017
rivers,n/a,n/a,n/a,obia akpor,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2755000,2455000,300000,2455000,27/03/2017
rivers,n/a,n/a,n/a,obia akpor,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000000,952500,47500,952500,14/08/2014
rivers,n/a,n/a,n/a,obia akpor,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2250000,2000000,250000,2000000,27/03/2017
rivers,n/a,n/a,n/a,obia akpor,forestry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,snailery,1704000,1600000,104000,1600000,27/03/2017
rivers,n/a,n/a,n/a,ikwerre,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,2170000,1600000,400000,1600000,20/10/2014
rivers,n/a,n/a,n/a,ikwerre,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,2000000,1600000,400000,1600000,20/10/2014
rivers,n/a,n/a,n/a,ikwerre,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,2000000,1600000,400000,1600000,24/09/2014
rivers,n/a,n/a,n/a,ikwerre,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,900000,400000,400000,400000,20/10/2014
rivers,n/a,n/a,n/a,ikwerre,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,rural market,n/a,4000000,3600000,400000,3600000,30/11/2017
rivers,n/a,n/a,n/a,obia akpor,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2755000,2455000,300000,2455000,25/04/2017
rivers,n/a,n/a,n/a,obia akpor,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2755000,2455000,300000,2455000,27/03/2017
rivers,n/a,n/a,n/a,obia akpor,livestock,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2755000,2455000,300000,2455000,27/03/2017
rivers,n/a,n/a,n/a,obia akpor,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000000,614500,385500,614500,14/08/2014
rivers,n/a,n/a,n/a,obia akpor,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000000,1486030,486030,1486030,14/08/2014
rivers,n/a,n/a,n/a,obia akpor,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2755000,2000000,250000,2455000,27/03/2017
rivers,n/a,n/a,n/a,obia akpor,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,rural market,n/a,3960000,3600000,360000,3600000,25/04/2017
rivers,n/a,n/a,n/a,obia akpor,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2500000,2200000,300000,2500000,27/03/2017
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1070000,755000,315000,755000,22/12/2015
bayelsa,southern ijaw,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3340000,3006000,334000,3006000,19/11/2015
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,25/10/2017
bayelsa,owan west,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3340000,3006000,334000,3006000,07/04/2015
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,25/10/2017
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,01/11/2017
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,01/11/2017
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,01/11/2017
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,01/11/2017
bayelsa,owan west,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,cargo boat,n/a,3340000,3006000,334000,3006000,01/11/2017
bayelsa,owan west,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,01/11/2017
bayelsa,owan west,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,01/11/2017
bayelsa,owan west,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,01/11/2017
bayelsa,owan west,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,01/11/2017
bayelsa,owan west,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,01/11/2017
bayelsa,owan west,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,01/11/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/02/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,05/04/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,214287,720003,26/01/2015
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,214287,720003,26/01/2015
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,26/01/2015
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,27/10/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,27/10/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,27/10/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,27/10/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,27/10/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,27/10/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,27/10/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,27/10/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,27/10/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,27/10/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,26/01/2015
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,26/01/2015
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,26/01/2015
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,26/01/2015
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,26/01/2015
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/02/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/02/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/02/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/02/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/02/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/02/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/02/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/02/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/02/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,11/12/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,11/12/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,11/12/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,11/12/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,11/12/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,11/12/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,11/12/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,11/12/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,11/12/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,11/12/2017
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,02/03/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,02/03/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,02/03/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,02/03/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,02/03/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,02/03/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,02/03/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,02/03/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,02/03/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,05/04/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,05/04/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,05/04/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,05/04/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,05/04/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,05/04/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,05/04/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,05/04/2018
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,05/04/2018
bayelsa,oredo,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,cargo boat,n/a,3340000,3006000,334000,3006000,05/04/2018
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1070000,755000,315000,755000,22/12/2015
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1070000,755000,315000,755000,22/12/2015
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1070000,755000,315000,755000,22/12/2015
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1070000,755000,315000,755000,22/12/2015
bayelsa,owan west,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,958580,715006,273574,715006,22/12/2015
bayelsa,owan west,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,958580,715006,273574,715006,22/12/2015
bayelsa,owan west,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,958580,715006,273574,715006,22/12/2015
bayelsa,owan west,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,958580,715006,273574,715006,22/12/2015
