group ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Description of Sub project Component,Location of Sub Project,Status of Project,Physical Output,Name of Contractor,Contractor Amount,Beneficiary Wages,calculation,Amount Disbursed Till Date,1st Picture of Site,,Number of Male Beneficiaries,Number of female Beneficiaries,Number of Beneficiaries Present on Site,Are there working ma ls for Beneficiaries,Are the PPEs adequate for Beneficiaries,Have Beneficiaries Received th,Reasons for no Payment,Percentage Level of Work Done
rivers,n/a,n/a,n/a,omumma,"MAINTENANCE OF OKEHI EBERI ROAD, OMUMA","EBERI , OMUMA",completed,SPOT INPROVEMENT OF EBERI ROAD USING REINFORCED CONCRETE,TEREX NIGERIA LIMITED,1.51E+07,1.21E+07,2.72E+07,2.72E+07,1572794741631.jpg,n/a,38,16,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,omumma,MAINTENANCE OF OKEHI-OMUMA/OMUALIKA COUNCIL ROAD,COUNCIL ROAD OMUMA,completed,SPOT AND SECTIONAL INPROVEMENT USING REINFORCED CONCRETE,GESBI ENGINEERING LTD,1.86E+07,1.08E+07,2.94E+07,2.94E+07,1572794270511.jpg,n/a,35,15,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,omumma,"MAINTENANCE OF OFUMA NACHA ROAD , OMUMA LGA ,PHASE 1",OMUNACHA OMUMA,completed,RWINFORCED CONCRETE PAVEMENT,BELMET LIMITED,1.87E+07,1.42E+07,3.29E+07,3.29E+07,1572791808949.jpg,1572791928766.jpg,50,21,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,omumma,"MAINTENANCE OF OFUMA NACHA ROAD ,PHASE 2",UMUNACHA OMUMA,on going,REINFORCED CONCRETE PAVEMENT,SELOPE INFINIT CO LIMITED,1.66E+07,1.18E+07,28439565,2.44E+07,1572791711527.jpg,n/a,37,16,40,yes,yes,yes,n/a,70
rivers,n/a,n/a,n/a,omumma,"MAINTENANCE OF AFORALA MARKET ROAD, OMUMA","OFE, OMUMA",completed,REINFORCED CONCRETE PAVEMENT ROAD,TOTEJI GLOBAL NIG LTD,2.00E+07,1.40E+07,3.41E+07,3.41E+07,1572790869419.jpg,n/a,50,21,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,obia akpor,"MAINTENANCE OF OKILTON LINK ROAD, RUMUOKE, OBIO/AKPOR LGA",OBIO/AKPOR LGA,on going,"CLEARING, REMOVAL OF UNSUITABLE MATERIAL, BINDING OF REBARS, SHUTTERING & CASTING OF CONCRETE PAVEMENT ",HENCHIKA GLOBAL VENTURES,2.36E+07,1.36E+07,37175375,3.72E+07,1572959207286.jpg,n/a,43,18,0,yes,yes,yes,n/a,95
rivers,n/a,n/a,n/a,obia akpor,"MAINTENANCE OF FARM ROAD 1, MGBUOBA, RUMUOKWUTA ROAD, OBIO/AKPOR",OBIO/AKPOR LGA,on going,"CLEARING, REMOVAL OF UNSUITABLE MATERIAL, BINDING OF REBARS, SHUTTERING & CASTING OF CONCRETE PAVEMENT",FREELANCE PROCUREMENT SERVICES,2.36E+07,1.37E+07,37248563,3.72E+07,1572959716041.jpg,1572959833506.jpg,43,18,0,yes,yes,yes,n/a,95
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 200M X 6M WIDTH REINFORCED CONCRETE ROAD AT OTAKEME,"OTAKEME, OGBIA LGA",completed,100%,AGROMETIC CONSULTING,1.57E+07,8160000,23857500,2.39E+07,1572525064620.jpg,1572524950239.jpg,17,15,32,no,yes,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 200M X 6M CONCRETE ROAD IN EMAKALAKALA,EMAKALAKALA,completed,100%,APUODONI NIG. LTD.,9482500,9840000,19322500,1.93E+07,1572526985341.jpg,1572527003322.jpg,30,10,40,no,yes,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 200M X 6M CONCRETE ROAD IN OGBIA TOWN,OGBIA TOWN,completed,100%,BECKOMAH NIG. LTD.,1.02E+07,9840000,2.00E+07,2.00E+07,1572528575699.jpg,1572528594371.jpg,25,15,40,no,yes,yes,n/a,100
rivers,n/a,n/a,n/a,obia akpor,"MAINTENANCE OF GRACE LAND AVENUE NEAR NYEWEALI NSIRIM NEW LAYOUT TOMBIA EXTENSION, OBIO/AKPOR",OBIO/AKPOR LGA,on going,RE-ENFORCED CONCRETE PAVEMENT,DAVO AND DEBI ENTERPRISE,2.35E+07,1.28E+07,36325025,3.63E+07,1572962024826.jpg,1572962076713.jpg,41,17,0,yes,yes,yes,n/a,95
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 180M X 5M APOLOGBO ROAD BY THE PRIMARY SCHOOL WITH CULVERT AND RETAINING WALL. OGBIA TOWN,OGBIA,on going,5%,KOBAYO ENTERPRISES (NIG.),1.17E+07,1.06E+07,2.22E+07,2.22E+07,1572529072857.jpg,1572529107440.jpg,28,15,43,yes,yes,AUTOMATIC,DOCUMENTATION AND ACCOUNT OPENING ONGOING,5
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 100M X 6M CONCRETE ROAD IN OLOIBIRI,OLOIBIRI,completed,100%,GOJEL INTEGRATED SERVICES,6089269.2,8640000,1.47E+07,1.47E+07,1572529972128.jpg,1572529987765.jpg,25,10,35,no,yes,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 5M CONCRETE ROAD WITH DRAINS,OTUOGIDI,on going,5%,ONINOLA VENTURE,1.23E+07,8640000,20913721,2.09E+07,1572531417972.jpg,1572531439698.jpg,20,15,35,yes,yes,AUTOMATIC,DOCUMENTATION AND ACCOUNT OPENING IS ONGOING,5
rivers,n/a,n/a,n/a,port harcourt,"MAINTENANCE OF OGBAKIRI/AGWU STREET MILE I, PORT HARCOURT CITY",PORT HARCOURT LOCAL GOVERNMENT,on going,SPOT IMPROVEMENT,RIGHT PITCH NIG. LTD,2.35E+07,1.32E+07,36767790,3.68E+07,1572963921755.jpg,1572963654923.jpg,41,18,0,yes,yes,yes,n/a,90
rivers,n/a,n/a,n/a,obia akpor,"MAINTENANCE OF OKILTON LINK ROAD, UMUOKE, OBIO AKPOR.",OBIO AKPOR,on going,n/a,HEN-CHIKA GLOBAL VENTURES,2.36E+07,1.36E+07,37175375,3.72E+07,1570459475696.jpg,1570459565951.jpg,43,18,0,yes,yes,yes,n/a,95
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 300M X 3M CONCRETE ROAD.,TEBIDABA,on going,SITE CLEARED AND BENEFICIARIES ENGAGED.,THELEMA THEOU INTERNATIONAL LTD,8740987.5,8640000,1.74E+07,0,1571487515649.jpg,1571487609453.jpg,24,11,0,no,yes,AUTOMATIC,DOCUMENTATION AND BANKING PROCESS ON GOING,3
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 200M X 4M CONCRETE ROAD.,UKUBIE,completed,WORK SATISFACTORILY COMPLETED.,PERE-EMI INTEGRATED SERVICES.,6837315,8640000,15477315,1.55E+07,1571479479922.jpg,1571479738130.jpg,20,15,0,no,yes,yes,n/a,100
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 150M X 5M CONCRETE ROAD,KOKOLOGBENE,on going,SITE CLEARED AND BENEFICIARIES ENGAGED.,AYIBAKEMIE-EBI ENTERPRISES (NIG),8576281,8640000,17216281,0,1571481435295.jpg,1571481460788.jpg,21,14,0,no,yes,AUTOMATIC,DOCUMENTATION AND BANK OPENING PROCESSES STILL ON GOING.,0
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 200M X 5M CONCRETE ROAD,OTUABULA,completed,COMPLETED,TUTU CONSTRUCTION LIMITED,5151220,6480000,11631220,1.16E+07,1573119011547.jpg,1573119053957.jpg,23,3,0,n/a,n/a,n/a,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 250M X 3M CONCRETE ROAD ,OLOGOGHE,completed,COMPLETED,ADINO GLOBAL RESOURCES LTD,7354447.38,7440000,1.48E+07,7354447.38,1572276966204.jpg,1572277059978.jpg,25,5,0,n/a,n/a,n/a,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 4M CONCRETE ROAD IN OTUEDU,OTUEDU,completed,COMPLETED,JACOCH NIG LTD,6185140.92,8640000,1.48E+07,1.48E+07,1570712141206.jpg,1570712188760.jpg,20,15,0,n/a,n/a,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 100M X 6M CONCRETE ROAD IN OKIKI,OKIKI,completed,COMPLETED,EMILY OIL AND GAS LTD,6473040.81,8640000,1.51E+07,1.51E+07,1570715099687.jpg,1570715452362.jpg,20,15,0,n/a,n/a,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 5M CONCRETE ROAD IN OKODI,OKODI,completed,COMPLETED,DAVIVENS GLOBAL SERVICES,9512193,8640000,18152193,1.82E+07,1570718114635.jpg,1570718132265.jpg,20,15,0,n/a,n/a,yes,n/a,100
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE ROAD WITH DUAL DRAINS,FOROPAH,on going,ONGOING,DESEMOTEL RESOURCES,1.46E+07,8640000,23281830,0,1571211286858.jpg,1571211367517.jpg,20,15,0,no,no,AUTOMATIC,DOCUMENTATION AND OPENING OF BANK ACCOUNTS CURRENTLY ONGOING,0
bayelsa,sagbama,n/a,n/a,n/a,CONSTRUCTION OF 150M X 5M CONCRETE ROAD IN AYAMA EBENI,AYAMA EBENI,on going,ONGOING,BENIMO SCIENTIFIC NIG LTD,9907380,1.06E+07,20467380,3070107,1571481691061.jpg,1571481971812.jpg,30,13,31,yes,yes,AUTOMATIC,DOCUMENTATION AND OPENING OF BANK ACCOUNTS CURRENTLY ONGOING,35
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 150M X 4M CONCRETE ROAD IN OBOLELE,OBOLELE,completed,COMPLETED,SAVRITE LTD,6851906,8640000,15491906,1.55E+07,1571665367720.jpg,1571665385622.jpg,20,15,0,n/a,n/a,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 4M  CONCRETE ROAD IN IBELEBIRI,IBELEBIRI,completed,COMPLETED,EBISOLA FIELD SERVICES,6452303.03,8640000,1.51E+07,1.51E+07,1572000385089.jpg,1572000401222.jpg,20,15,0,n/a,n/a,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 100M X 6M CONCRETE ROAD WITH BOTH DRAIN IN OTUASEGA,OTUASEGA,completed,COMPLETED,AYUNAG GLOBAL LTD,9214788.03,9840000,1.91E+07,1.91E+07,1572001454327.jpg,1572001466319.jpg,30,10,0,n/a,n/a,yes,n/a,0
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 5M CONCRETE ROAD WITH DUAL DRAINS,OTUOKPOTI,on going,ONGOING,ABIES-PA ENTERPRISES,1.21E+07,8640000,2.08E+07,0,1572537721962.jpg,1572537731835.jpg,20,15,0,no,no,AUTOMATIC,DOCUMENTATION AND OPENING OF BANK ACCOUNTS ONGOING,3
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE ROAD,OTUOKPOTI,completed,COMPLETED,ISRAELDV GLOBAL CONCEPT NIG LTD,5840120.08,7440000,1.33E+07,1.33E+07,1572537987597.jpg,1572537996410.jpg,24,6,0,n/a,n/a,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 200M X 5M MARRINA ROAD IN OGBIA TOWN,OGBIA TOWN,on going,ONGOING,GOJEC INTEGRATED SERVICE,8285745.7,1.06E+07,1.88E+07,0,1572528803056.jpg,1572528723065.jpg,30,13,0,no,no,AUTOMATIC,DOCUMENTATION AND OPENING OF BANK ACCOUNTS ONGOING,2
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 100M X 6M CONCRETE ROAD IN OTABAGI,OTABAGI,completed,COMPLETED,ALMACCAESER NIG LTD,6133450.26,8640000,1.48E+07,1.48E+07,1572532576434.jpg,1572532610497.jpg,25,10,0,n/a,n/a,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,MAINTENANCE OF THE EXISTING CONCRETE ROAD 100M X 6M ,OGBIA TOWN,completed,COMPLETED,MILCON NIG LTD,4307530,7440000,11747530,1.17E+07,1572528339155.jpg,1572528352311.jpg,25,5,0,n/a,n/a,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 100M X 6M CONCRETE ROAD IN OPUME,OPUME,completed,COMPLETED,GBALI & BROTHERS ENTERPRISES,6060723.25,9840000,1.59E+07,1.59E+07,1572527539827.jpg,1572527544383.jpg,30,10,0,n/a,n/a,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 5M CONCRETE ROAD WITH ONE SIDE DRAIN IN KOLO 2,KOLO 2,completed,COMPLETED,AYUNAG GLOBAL LTD,9264846.36,1.06E+07,1.98E+07,1.98E+07,1572005816887.jpg,1572005827601.jpg,30,13,0,n/a,n/a,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 250M X 5M CONCRETE ROAD WITH DRAINS AND CULVERT,KOLO 2,on going,ONGOING,MIIDJAM GLOBAL ENTERPRISES,2.03E+07,1.22E+07,32516025,0,1572006905323.jpg,1572006961538.jpg,35,15,0,no,no,AUTOMATIC,DOCUMENTATION AND OPENING OF BANK ACCOUNTS ONGOING,1
bayelsa,owan east,n/a,n/a,n/a,"CONSTRUCTION OF 150M X 6M CONCRETE ROAD, EWOI",EWOI,on going,ONGOING,ZEDISCO INT'L INVESTMENT LTD,9876045.5,8640000,1.85E+07,0,1572012226387.jpg,1572012240133.jpg,20,15,0,no,no,AUTOMATIC,DOCUMENTATION AND OPENING OF BANK ACCOUNTS ONGOING,2
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M PRIMARY SCHOOL ROAD,EMEYAL 1,on going,ONGOING,TUTU CONSTRUCTION LTD,7913620.58,8640000,1.66E+07,0,1572014311881.jpg,1572014357967.jpg,25,10,0,no,no,AUTOMATIC,DOCUMENTATION AND OPENING OF BANK ACCOUNTS ONGOING,3
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 250M X 6M BY PASS ROAD,ELEBELE,on going,ONGOING,OSEDENIC SERVICES,1.10E+07,1.10E+07,2.21E+07,0,1572017628497.jpg,1572017659196.jpg,30,15,0,no,no,AUTOMATIC,DOCUMENTATION AND OPENING OF BANK ACCOUNTS ONGOING,3
bayelsa,owan east,n/a,n/a,n/a,MAINTENANCE OF EXISTING CONCRETE ROAD 170M X 6M,AKIPILAI,completed,COMPLETED,ISRAELDV GLOBAL CONCEPT NIG LTD,6329127.95,7200000,1.35E+07,1.35E+07,1572525873252.jpg,1572525896150.jpg,25,4,0,n/a,n/a,yes,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE SCHOOL ROAD WITH RETAINING WALLS,OTUASEGA,on going,ON GOING,NASU INTERNATIONAL SERVICES,1.05E+09,8640000,1054599500,0,1572000734912.jpg,1572000766811.jpg,15,20,n/a,n/a,n/a,n/a,n/a,2
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 4M CONCRETE ROAD,KOLO 3,completed,COMPLETED,MILDJAM GLOBAL ENTERPRISE,9100000,9840000,18940000,9100000,1572005357961.jpg,1572005383180.jpg,30,12,0,n/a,n/a,n/a,n/a,100
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 100M X 6M CONCRETE ROAD,EMEYAL 2,completed,COMPLETED,TUTU CONSTRUCTION LTD,6331755.68,8640000,1.50E+07,6331755.68,1572015043284.jpg,1572015020918.jpg,20,15,0,n/a,n/a,n/a,n/a,100
bayelsa,yenegoa,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,yenegoa,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,yenegoa,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,yenegoa,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,ikpoba okha,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE ROAD BY SABBATH ROAD. SABAGREIA,SABAGREIA,yet to commenc,ABOUT TO COMMENCE,JESOTO GLOBAL CONTRACTORS LTD,7763141.25,8400000,1.62E+07,0,1570707025870.jpg,1570707049882.jpg,20,14,34,yes,yes,AUTOMATIC,DOCUMENTATION ONGOING,20
bayelsa,ikpoba okha,n/a,n/a,n/a,"CONSTRUCTION OF 200M X 3M CONCRETE ROAD, ISETUBO",ISETUBU,yet to commenc,ABOUT TO COMMENCE,JOSHGORE GLOBAL RESOURCES,6471517.5,9840000,1.63E+07,0,1570705256762.jpg,1570705284122.jpg,18,22,40,yes,yes,AUTOMATIC,DOCUMENTATION IS ONGOING,20
bayelsa,ikpoba okha,n/a,n/a,n/a,CONSTRUCTION OF 200M X 4M CONCRETE ROAD OYOBOU,OYOBOU,yet to commenc,WORK ABOUT TO COMMENCE,TARILG GLOBAL SERVICES NIG. LTD,7962170,8640000,16602170,0,1570708586503.jpg,1570708669566.jpg,15,20,35,yes,yes,AUTOMATIC,DOCUMENTATION IS ONGOING,20
bayelsa,ikpoba okha,n/a,n/a,n/a,CONSTRUCTION OF 100M X 4M CONCRETE ROAD WITH DRAIN,OLODANI,yet to commenc,WORK IS ABOUT TO COMMENCE,JOSHTIMS ENTERPRISES,7844268.59,8640000,1.65E+07,0,1570704695901.jpg,1570704718270.jpg,15,20,35,yes,yes,AUTOMATIC,DOCUMENTATION ONGOING,20
bayelsa,ikpoba okha,n/a,n/a,n/a,CONSTRUCTION OF 200M X 4M CONCRETE ROAD.(MARKET ROAD),TAMU-ISEDANI,yet to commenc,WORK IS ABOUT TO COMMENCE,JONASHAD BUSINESS SERVICES,7659435,9840000,17499435,0,1570706091891.jpg,1570706167449.jpg,15,25,40,yes,yes,AUTOMATIC,DOCUMENTATION IS ONGOING,20
bayelsa,ikpoba okha,n/a,n/a,n/a,CONSTRUCTION OF 100M X 6M CONCRETE ROAD,OLOBIRI,yet to commenc,WORK ABOUT TO COMMENCE,PRINCE TANIK ENTERPRISES NIG,1.12E+07,8640000,1.99E+07,0,1570710766575.jpg,1570710813865.jpg,15,20,35,yes,yes,AUTOMATIC,DOCUMENTATION ONGOING,20
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE ROAD 2 WITH DRAINS,KOLO 2,on going,ON GOING,MILD JAM GLOBAL ENTERPRISE,1.81E+07,1.22E+07,30369342,0,1572006007246.jpg,1572006057777.jpg,15,35,0,n/a,n/a,n/a,n/a,3
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE ROAD 1 WITH DRAINS AND CULVERT,KOLO 2,on going,ON GOING,MILD JAM GLOBAL ENTERPRISE,1.77E+07,1.22E+07,3.00E+07,0,1572006348452.jpg,1572006374371.jpg,15,35,n/a,n/a,n/a,n/a,n/a,2
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 200M X 5M CONCRETE ROAD WITH DUAL DRAINAGE,OTUABA,on going,ON GOING,BLUE PRIME SYNERGY LTD,2.14E+07,8640000,3.00E+07,0,1572009622267.jpg,1572009700712.jpg,15,20,0,n/a,n/a,n/a,n/a,3
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 400M X 1.5M CONCRETE ROAD,IDEMA,on going,ON GOING,KATURAH DRAGON,8939700,8640000,17579700,n/a,1572094080126.jpg,1572094111634.jpg,15,20,0,n/a,n/a,n/a,n/a,2
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE ROAD,IMIRINGI,completed,COMPLETED,ODUDU RAINDROP VENTURE,5624070.9,7440000,1.31E+07,1.31E+07,1572003380537.jpg,1572003393709.jpg,27,3,0,n/a,n/a,yes,n/a,100
bayelsa,southern ijaw,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,owan east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,owan east,n/a,n/a,n/a,CONSTRUCTION OF 300 X 6M CONCRETE ROAD,ELEBELE,completed,COMPLETED,HEBRON GLOBAL ENGINEERING CONSTRUCTION COMPANY LTD,1.13E+07,1.06E+07,2.19E+07,2.19E+07,1572017878402.jpg,1572017912163.jpg,33,10,0,n/a,n/a,n/a,n/a,100
rivers,n/a,n/a,n/a,bonny,CONSTRUCTION OF DRINAGE BONNY SANDFILL ROAD,RIVERS SOUTH WEST,completed,100%,ARTHUR AND ANGELA LIMITED,2.41E+07,1.34E+07,3.75E+07,3.70E+09,1570887326335.jpg,1570887467856.jpg,43,19,62,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,bonny,MAINTENANCE OF BONNY MAIN MARKET ROAD,RIVERS SOUTH WEST,completed,100%,VITARIO ENTERPRISES,2.74E+07,1.08E+07,3.82E+07,3.82E+07,1570886652204.jpg,1570886735375.jpg,33,15,48,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,bonny,MAINTENANCE OF AKIAMA NAVAL QUARTER ROAD BONNY,RIVERS SOUTH WEST,completed,100%,TOBE NIGERIA LIMITED,1.27E+07,1.15E+07,2.42E+07,2.42E+07,1570885482389.jpg,1570885554865.jpg,35,16,51,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,bonny,MAINTENANCE OF AKIAMA /ABALAMA POLY ROAD,RIVERS SOUTH WEST,completed,100%,PETAMS INTEGRETED GLOBAL SERVICES,2.28E+07,9492000,3.23E+07,3.23E+07,1570884768907.jpg,1570885026633.jpg,38,22,60,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,okrika,"MAINTENANCE OF KALIO-AMA ROAD, FROM KALIO-AMA INTERLOCK TO THE WATERSIDE OKIRIKA",OKIRIKA LGA,on going,CONCRETE INTERLOCK PAVEMENT TO THE WATER SIDE,DANIELLA ERIC NIGERIA LTD,2.12E+07,1.36E+07,34760325,3.48E+07,1570633894721.jpg,1570633941990.jpg,43,18,0,yes,yes,yes,n/a,70
rivers,n/a,n/a,n/a,okrika,"MAINTENANCE OF CHIEF NABIEBU ROAD, OKIRIKA",OKIRIKA,completed,"CLEARING, REMOVAL OF UNSUITABLE MATERIAL, BINDING OF REBARS, SHUTTERING AND CASTING OF DRAINS.",VISUAL INT'L PRECIOUS ACADEMY LTD.,2.00E+07,1.75E+07,3.75E+07,3.75E+07,1570632967487.jpg,1570632985978.jpg,50,21,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,okrika,"MAINTENANCE OF FELIX STREET BY FELIX AVENUE, OKOCHIRI",OKIRIKA LGA,completed,RE-ENFORCEMENT OF CONCRETE PAVEMENT,GIMAX NIGERIA LTD.,1.71E+07,1.36E+07,30662098,3.07E+07,1570630055223.jpg,1570630173365.jpg,44,19,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,okrika,"MAINTENANCE OF OGBORU ROAD BY RING ROAD, OKIRIKA",OKIRIKA LGA,completed,"CLEARING, REMOVAL OF UNSUITABLE MATERIAL, BINDING OF REBARS, SHUTTERING AND CASTING OF DRAINS.",ADAWILLS LTD,2.04E+07,1.21E+07,3.25E+07,3.25E+07,1570631686921.jpg,n/a,41,17,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,okrika,"MAINTENANCE OF TAMUNOSIKI ROAD, OKIRIKA",OKIRIKA LGA,completed,"CLEARING, REMOVAL OF UNSUITABLE MATERIAL, BINDING OF REBARS, SHUTTERING AND CASTING OF DRAINS.",MIKAN PETROLEUM AND MARINE CO. LTD.,2.80E+07,1.42E+07,4.22E+07,4.22E+07,1570630258023.jpg,1570630400193.jpg,45,19,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,emohua,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogu bolo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
edo,n/a,n/a,ovia south eas,n/a,ASPHALT OVERLAY,IMASEBAMWEN STREET IGUOBAZUWA,completed,100%,FRENJATOVID INTERNATIONAL LIMITED,3.78E+07,1.04E+07,48163893,48163893,1568626539001.jpg,1568626560590.jpg,93,57,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,DRAINAGE CONSTRUCTION,JAMES WATT ROAD BENIN CITY,completed,DRAIN DONE,EGHJUST INTERNATIONAL LIMITED,2.30E+07,12960,2.30E+07,23016787,1568646624398.jpg,1568646653275.jpg,51,69,0,yes,yes,yes,n/a,100
edo,n/a,n/a,ovia north eas,n/a,ASPHALT OVERLAY AND KERBS,OMORUYI/ OSAOBOMWEN STREET ISIHOR,completed,ROAD ASPHALTED WITH KERBS,SMOOTH ENGINEERING AND CONSTRUCTION LIMITED,5.03E+07,4.32E+07,9.35E+07,93516667,1568635143375.jpg,1568635162980.jpg,92,108,n/a,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,DRAINAGE CONSTRUCTION AND ASPHALT OVERLAY,ISIWE STREET OFF FORESTRY ROAD,completed,DRAIN AND ASPHALT OVERLAY DONE,JEZUWA NIGERIA LIMITED,3.00E+07,2.59E+07,5.59E+07,55946234,1568647462357.jpg,1568647503629.jpg,52,68,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,COOKE ROAD OFF MISSION ROAD BENIN CITY,completed,ASPHALT DONE,AIRHEN KELVIN CONSTRUCTION LIMITED,2.19E+07,1.51E+07,3.71E+07,37064979,1568647975916.jpg,1568647988217.jpg,30,40,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY AND DRAINAGE CONSTRUCTION,ROAD BESIDE ST PHILOMENA HOSPITAL,completed,DRAIN AND ASPHALT DONE,OSKING VENTURE,3.23E+07,1.75E+07,4.98E+07,49768755,1568646027693.jpg,1568646065987.jpg,41,59,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY AND DRAINAGE CONSTRUCTION,OYE STREET OFF BABA NAIRA AND ANTHONY IYAMU STREET BENIN CITY,completed,DRAIN AND ASPHALT DONE,AIRHEN KELVIN CONSTRUCTION LIMITED,5.20E+07,1.73E+07,6.92E+07,69242372,1568643971031.jpg,1568644002660.jpg,45,55,0,yes,yes,yes,n/a,100
